"scientificname","commonname","aphiaid","tsn","taxonstatus","aphiaidaccepted","scientificnameaccpt","classname","ordername","family","genus","species"
Epinephelus itajara,goliath grouper,"159353","167695",accepted,"159353",Epinephelus itajara,Actinopteri,Perciformes,Serranidae,Epinephelus,itajara
Centropomus undecimalis,common snook,"280068","167648",accepted,"280068",Centropomus undecimalis,Actinopteri,Carangaria incertae sedis,Centropomidae,Centropomus,undecimalis
Rhizoprionodon terraenovae,sharpnose shark,"158510","160200",accepted,"158510",Rhizoprionodon terraenovae,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,terraenovae
Haemulon plumierii,white grunt,"158808","613026",accepted,"158808",Haemulon plumierii,Actinopteri,Eupercaria incertae sedis,Haemulidae,Haemulon,plumierii
Megalops atlanticus,tarpon,"126430","161116",accepted,"126430",Megalops atlanticus,Actinopteri,Elopiformes,Megalopidae,Megalops,atlanticus
Negaprion brevirostris,lemon shark,"105800","160433",accepted,"105800",Negaprion brevirostris,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Negaprion,brevirostris
Caretta caretta,loggerhead sea turtle,"137205","173830",accepted,"137205",Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,caretta
Mycteroperca interstitialis,yellowmouth grouper,"273878","167762",accepted,"273878",Mycteroperca interstitialis,Actinopteri,Perciformes,Serranidae,Mycteroperca,interstitialis
Sphyrna tiburo,bonnethead shark,"158517","160502",accepted,"158517",Sphyrna tiburo,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,tiburo
Hypanus say,bluntnose stingray,"1042865",,accepted,"1042865",Hypanus say,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus,say
Mobula hypostoma,lesser devil ray,"158530","160997",accepted,"158530",Mobula hypostoma,Elasmobranchii,Myliobatiformes,Myliobatidae,Mobula,hypostoma
Cynoscion nebulosus,spotted seatrout,"159312","169239",accepted,"159312",Cynoscion nebulosus,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Cynoscion,nebulosus
Squalus acanthias,spiny dogfish,"105923","160617",accepted,"105923",Squalus acanthias,Elasmobranchii,Squaliformes,Squalidae,Squalus,acanthias
Chelonia mydas,green sea turtle,"137206","173833",accepted,"137206",Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,mydas
Gymnothorax moringa,spotted moray,"158584","161188",accepted,"158584",Gymnothorax moringa,Actinopteri,Anguilliformes,Muraenidae,Gymnothorax,moringa
Balistes vetula,queen triggerfish,"127397","173139",accepted,"127397",Balistes vetula,Actinopteri,Tetraodontiformes,Balistidae,Balistes,vetula
Lutjanus griseus,grey snapper,"159797","168848",accepted,"159797",Lutjanus griseus,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,griseus
Morone saxatilis,striped bass,"151179","167680",accepted,"151179",Morone saxatilis,Actinopteri,Eupercaria incertae sedis,Moronidae,Morone,saxatilis
Strombus gigas,queen conch,"458661","72558",unaccepted,"1429769",Aliger gigas,Gastropoda,Littorinimorpha,Strombidae,Strombus,gigas
Malaclemys terrapin,diamondback terrapin,"422564","173780",accepted,"422564",Malaclemys terrapin,Reptilia,Testudines,Emydidae,Malaclemys,terrapin
Mustelus canis,smooth dogfish,"158518","160230",accepted,"158518",Mustelus canis,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,canis
Trachinotus falcatus,permit,"367285","168709",accepted,"367285",Trachinotus falcatus,Actinopteri,Carangiformes,Carangidae,Trachinotus,falcatus
Seriola rivoliana,Almaco jack,"126818","168691",accepted,"126818",Seriola rivoliana,Actinopteri,Carangiformes,Carangidae,Seriola,rivoliana
Lachnolaimus maximus,hogfish,"158822","170566",accepted,"158822",Lachnolaimus maximus,Actinopteri,Eupercaria incertae sedis,Labridae,Lachnolaimus,maximus
Sphyraena barracuda,great barracuda,"159812",,unaccepted,"345843",Sphyraena barracuda,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,barracuda
Holocentrus adscensionis,squirrelfish,"159378","166172",accepted,"159378",Holocentrus adscensionis,Actinopteri,Holocentriformes,Holocentridae,Holocentrus,adscensionis
Archosargus probatocephalus,sheepshead,"159238","169189",accepted,"159238",Archosargus probatocephalus,Actinopteri,Eupercaria incertae sedis,Sparidae,Archosargus,probatocephalus
Albula vulpes,bonefish,"212256","161121",accepted,"212256",Albula vulpes,Actinopteri,Albuliformes,Albulidae,Albula,vulpes
Manta birostris,manta,"105857","160992",unaccepted,"1026118",Mobula birostris,Elasmobranchii,Myliobatiformes,Myliobatidae,Manta,birostris
Lutjanus griseus,gray snapper,"159797","168848",accepted,"159797",Lutjanus griseus,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,griseus
Mycteroperca microlepis,gag grouper,"273880","167759",accepted,"273880",Mycteroperca microlepis,Actinopteri,Perciformes,Serranidae,Mycteroperca,microlepis
Sphyrna tiburo,bonnethead,"158517","160502",accepted,"158517",Sphyrna tiburo,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,tiburo
Alosa mediocris,hickory shad,"158668","161704",accepted,"158668",Alosa mediocris,Actinopteri,Clupeiformes,Clupeidae,Alosa,mediocris
Acipenser brevirostrum,shortnose sturgeon,"157869","161069",accepted,"157869",Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum
Hyporthodus niveatus,snowy grouper,"475101",,accepted,"475101",Hyporthodus niveatus,Actinopteri,Perciformes,Serranidae,Hyporthodus,niveatus
Leiostomus xanthurus,spot,"159322","169267",accepted,"159322",Leiostomus xanthurus,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Leiostomus,xanthurus
Sparisoma rubripinne,yellowtail parrotfish,"159301","170866",accepted,"159301",Sparisoma rubripinne,Teleostei,Eupercaria incertae sedis,Scaridae,Sparisoma,rubripinne
Mycteroperca microlepis,gag,"273880","167759",accepted,"273880",Mycteroperca microlepis,Actinopteri,Perciformes,Serranidae,Mycteroperca,microlepis
Cephalopholis fulva,coney,"279148","167740",accepted,"279148",Cephalopholis fulva,Actinopteri,Perciformes,Serranidae,Cephalopholis,fulva
Carcharias taurus,sand tiger shark,"105843",,accepted,"105843",Carcharias taurus,Elasmobranchii,Lamniformes,Odontaspididae,Carcharias,taurus
Lobotes surinamensis,Atlantic tripletail,"126973","169007",accepted,"126973",Lobotes surinamensis,Actinopteri,Acanthuriformes,Lobotidae,Lobotes,surinamensis
